"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"39","Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there.",FALSE,740106,NA,2017-05-14 14:01:16,FALSE,NA,"863756100948156416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",113365,FALSE,FALSE,NA,NA
"40","We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR",FALSE,123224,NA,2017-05-03 19:42:16,FALSE,NA,"859855649689174019",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",24310,FALSE,FALSE,NA,NA
"41","Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Bil… https://t.co/jB3LXT94Ok",FALSE,508930,NA,2017-05-02 17:19:26,TRUE,NA,"859457313232605184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",131188,FALSE,FALSE,NA,NA
"42","My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.",FALSE,822629,NA,2017-03-23 13:00:20,FALSE,NA,"844896595179180034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",145349,FALSE,FALSE,NA,NA
"43","Chuck Berry rolled over everyone who came before him – and turned up everyone who came after.  We'll miss you, Chuck.  Be good.",FALSE,407181,NA,2017-03-19 15:51:23,FALSE,NA,"843490091519623169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",68129,FALSE,FALSE,NA,NA
"44","On International Women’s Day, @MichelleObama and I are inspired by all of you who embrace your power to drive chang… https://t.co/Er9mIQlmgr",FALSE,276551,NA,2017-03-08 21:14:58,TRUE,NA,"839585255703080968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",52459,FALSE,FALSE,NA,NA
"45","Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them:… https://t.co/25Ohhab8Xn",FALSE,106613,NA,2017-03-02 15:22:07,TRUE,NA,"837322131834875904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",18782,FALSE,FALSE,NA,NA
"46","We asked. You answered. https://t.co/mAJvko6VqR",FALSE,119025,NA,2017-02-17 19:37:55,FALSE,NA,"832675462325243906",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",27138,FALSE,FALSE,NA,NA
"47","Happy Valentine’s Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN",FALSE,1116349,NA,2017-02-14 15:34:47,FALSE,NA,"831527113211645959",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",262125,FALSE,FALSE,NA,NA
"48","I read letters like these every single day. It was one of the best parts of the job – hearing from you. https://t.co/so1luBcszV",FALSE,240791,NA,2017-01-22 18:07:02,FALSE,NA,"823230505546117120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",36120,FALSE,FALSE,NA,NA
