"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"274","Trust the process.... Hopefully the last time we're in the lottery",FALSE,3974,NA,2016-05-18 00:28:28,FALSE,NA,"732729530142576640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2366,FALSE,FALSE,NA,NA
"275","LETS ****** GO.... #1 PICK",FALSE,4189,NA,2016-05-18 00:26:49,FALSE,NA,"732729116512931840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2945,FALSE,FALSE,NA,NA
"276","Come on",FALSE,1334,NA,2016-05-18 00:23:13,FALSE,NA,"732728211079991297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",806,FALSE,FALSE,NA,NA
"277","Ì†ΩÌ±ÄÌ†ΩÌ±ÄÌ†ΩÌ±ÄÌ†ΩÌ±ÄÌ†ΩÌ±ÄÌ†ΩÌ±ÄÌ†ΩÌ±ÄÌ†ΩÌ±ÄÌ†ΩÌ±Ä #What https://t.co/FDPgusa6t2",FALSE,3382,NA,2016-05-17 21:02:47,FALSE,NA,"732677769398788097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2523,FALSE,FALSE,NA,NA
"278","LOTTERY DAY #1 and #4 #TrustTheProcess #lol",FALSE,3541,NA,2016-05-17 20:04:18,FALSE,NA,"732663052139651072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",3119,FALSE,FALSE,NA,NA
"279","HALA MADRID!!!! Now we need Barcelona and Atl Madrid to lose a game in La Liga",FALSE,814,NA,2016-05-04 20:38:54,FALSE,NA,"727960718948044801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",706,FALSE,FALSE,NA,NA
"280","#Philly https://t.co/I3i95rT5m9",FALSE,3181,NA,2016-04-05 03:31:30,FALSE,NA,"717192915458658304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2473,FALSE,FALSE,NA,NA
"281","Mario Chalmers all over",FALSE,1618,NA,2016-04-05 03:29:16,FALSE,NA,"717192354504028160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",757,FALSE,FALSE,NA,NA
"282","GREAT SHOT",FALSE,967,NA,2016-04-05 03:28:33,FALSE,NA,"717192171032612864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",374,FALSE,FALSE,NA,NA
"283","Much respect to one of the best of all-time... @alleniverson #Philly #Congrats",FALSE,1698,NA,2016-04-04 18:55:36,FALSE,NA,"717063087011078148",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",661,FALSE,FALSE,NA,NA
